"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"Poland,""POL"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""69116"",""68332"",""68651"",""61760"",""55471"",""54448"",""47913"",""47756"",""49549"",""52137"",""49779"",""53427"",""54253"",""52043"",""43554"",""48795"",""53746"",""48903"",""50881"",""50073"",""50602.9"",""50650"",""54797"",""59388"",""54584"","""","""","
"Pre-demographic dividend,""PRE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Puerto Rico,""PRI"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Korea, Dem. People's Rep.,""PRK"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Portugal,""PRT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2019"",""1857"",""2247"",""2048"",""2179"",""2183"",""2138"",""2196"",""2073"",""2282"",""2422"",""2529"",""2586"",""2549"",""2174"",""2313"",""2322"",""2421"",""2290"",""2438"",""2661"",""2622"",""2742"",""2863"",""2701"","""","""","
"Paraguay,""PRY"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"West Bank and Gaza,""PSE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Pacific island small states,""PSS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Post-demographic dividend,""PST"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9074.5"",""9481"",""10671"",""10128.5"",""9831"",""10803"",""10832"",""10746"",""11057"",""11489"",""11641"",""11599"",""11212"",""11915.5"",""9919"",""10412"",""10761.5"",""11061"",""11812"",""12313"",""12431"",""12447"",""11504.7825"",""11475.5"",""11673"","""","""","
"French Polynesia,""PYF"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Qatar,""QAT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Romania,""ROU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""27179"",""26877"",""24789"",""19708"",""15927"",""17982"",""17960"",""17494"",""16942"",""18426"",""16582"",""15791"",""15757"",""15236"",""11088"",""12375"",""14719"",""13472"",""12941"",""12264"",""13673"",""13535"",""13782"",""13076"",""13312"","""","""","
"Russian Federation,""RUS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1213711"",""1131251"",""1100289"",""1019547"",""1204547"",""1373178"",""1433617"",""1510203"",""1668921"",""1801601"",""1858093"",""1950830"",""2090337"",""2116240"",""1865305"",""2011308"",""2127835"",""2222389"",""2196217"",""2300532"",""2305945"",""2344087"",""2493428"",""2597778"",""2602493"","""","""","
"Rwanda,""RWA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"South Asia,""SAS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3175"",""2929.5"",""2705.5"",""2671.5"",""2433"",""3612"",""4520"",""4573"",""2882.5"",""2846"",""2915.5"","""",""3115"",""6187"","""","""",""1225"",""492.2405"",""472.1205"",""1090"",""1997.5"",""4774"","""","""","""","""","""","
"Saudi Arabia,""SAU"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""822"",""675"",""813"",""960"",""900"",""822"",""746"",""772"",""880"",""1173"",""1192"",""1272.3"",""1630"",""1748"","""",""1852.472"","""","""","""","""","""","""","""","""","""","""","""","
"Sudan,""SDN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1538"",""1616"",""1654"",""1453"",""1654"",""1164"",""903"",""993"","""",""889"",""766"",""766"","""","""","""",""925"",""770"",""823"",""33.9"","""","""","""","""","""","""","""","""","
"Senegal,""SEN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""475"",""474"",""446"",""435"",""401"",""371"",""370"",""369"",""369"",""371"",""376"",""384"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Singapore,""SGP"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Solomon Islands,""SLB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Sierra Leone,""SLE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"El Salvador,""SLV"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""13"",""13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"San Marino,""SMR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Somalia,""SOM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Serbia,""SRB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1364"",""1865"",""2398"",""2537"",""1190"",""1917"",""1989"",""2253"",""2591"",""3164"",""3482"",""4232"",""4551"",""4339"",""2967"",""3522"",""3611"",""2769"",""3022"",""2988"",""3248"",""3087"",""3288"",""3932"",""2861"","""","""","
"Sub-Saharan Africa (excluding high income),""SSA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"South Sudan,""SSD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Sub-Saharan Africa,""SSF"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Small states,""SST"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Sao Tome and Principe,""STP"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Suriname,""SUR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Slovak Republic,""SVK"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""13674"",""12017"",""12373"",""11753"",""9859"",""11234"",""10929"",""10383"",""10113"",""9702"",""9463"",""9988"",""9647"",""9299"",""6964"",""8105"",""7960"",""7591"",""8494"",""8829"",""8439"",""9111"",""8486"",""8691"",""8480"","""","""","
"Slovenia,""SVN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3076"",""2550"",""2852"",""2859"",""2784"",""2857"",""2837"",""3078"",""3274"",""3149"",""3245"",""3373"",""3603"",""3520"",""2668"",""3421"",""3752"",""3470"",""3799"",""4110"",""4175"",""4360"",""5128"",""5151"",""5292"","""","""","
"Sweden,""SWE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""19391"",""18846"",""19181"",""19163"",""19090"",""20088"",""19547"",""19197"",""20170"",""20856"",""21675"",""22271"",""23250"",""22924"",""20389"",""23464"",""22864"",""22043"",""20970"",""21296"",""20699"",""21406"",""21838"",""23357.550173732"",""22717.021416294"","""","""","
"Eswatini,""SWZ"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""689.177"",""698.914"",""709.866"",""733.941"",""680.409"","""","""","""",""776"",""862"","""","""","""","""","""","""","""","""","""","""","
"Sint Maarten (Dutch part),""SXM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Seychelles,""SYC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Syrian Arab Republic,""SYR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1285"",""1364"",""1439"",""1431"",""1577"",""1568"",""1491"",""1813.889"",""1884.3"",""1868.4"",""2074.37"",""2458"",""2551"",""2370.473"","""",""2206.297"","""","""","""","""","""","""","""","""","""","""","""","
"Turks and Caicos Islands,""TCA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Chad,""TCD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"East Asia & Pacific (IDA & IBRD countries),""TEA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1751"",""1533"",""1521"",""1324"",""2162.5"",""2084"","""",""2947"",""1014"",""2682"","""","""",""4157.5"","""","""",""5230"","""","""","""","""","""","""","""","""","""","""","""","
"Europe & Central Asia (IDA & IBRD countries),""TEC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5786"",""4782"",""3515"",""4702"",""5052"",""5538"",""4904"",""5755.5"",""5274"",""5211"",""7648.5"",""7393"",""6927"",""8268"",""5417"",""6228"",""6055"",""5976"",""4386"",""4988"",""4261.2"",""3434"",""3931"",""3932"",""3418.35"","""","""","
"Togo,""TGO"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Thailand,""THA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3242"",""3286"",""3482"",""2874"",""2927"",""2247"","""",""3894"",""4057"",""4037"",""4037"","""",""3161"","""","""",""2701"",""2562"","""","""","""","""","""","""","""","""","""","""","
"Tajikistan,""TJK"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2115"",""1719"",""1384"",""1458"",""1282"",""1326"",""1250"","""",""1087"",""1117"","""",""1220.1"",""1274.4"","""",""1282"",""808.4"",""702.9"",""554.9"","""",""391"",""317"",""228.3"",""165"",""224"",""231.7"","""","""","
"Turkmenistan,""TKM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8568"",""6779"",""7445"",""7701"",""7337"",""7588"",""6437"",""6437"","""",""8670"","""",""10441"",""10973"",""11547"",""11765"",""11765"",""11992"",""11992"","""",""11992"",""13327"",""13327"",""13327"","""","""","""","""","
"Latin America & the Caribbean (IDA & IBRD countries),""TLA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Timor-Leste,""TLS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Middle East & North Africa (IDA & IBRD countries),""TMN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1946"",""2224"",""2175.5"",""2315"",""1834"",""2131"",""2131.5"",""2249"",""2297.75"",""2013.5"",""2070.685"",""2458"",""2374"",""2221.7365"","""",""1808.3085"","""","""","""","""","""","""","""","""","""","""","""","
"Tonga,""TON"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"South Asia (IDA & IBRD),""TSA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3175"",""2929.5"",""2705.5"",""2671.5"",""2433"",""3612"",""4520"",""4573"",""2882.5"",""2846"",""2915.5"","""",""3115"",""6187"","""","""",""1225"",""492.2405"",""472.1205"",""1090"",""1997.5"",""4774"","""","""","""","""","""","
"Sub-Saharan Africa (IDA & IBRD countries),""TSS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Trinidad and Tobago,""TTO"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Tunisia,""TUN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2302"",""2309"",""2328"",""2315"",""1635"",""2282"",""2273"",""2251"",""2173"",""2082"",""2067"",""2174"",""2197"",""2073"","""",""2024.481"","""","""","""",""870"",""664"",""667"",""679"",""535"","""","""","""","
"Turkiye,""TUR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8632"",""9018"",""9718"",""8466"",""8446"",""9895"",""7561"",""7224"",""8669"",""9417"",""9152"",""9676"",""9921"",""10739"",""10326"",""11462"",""11677"",""11670"",""11177"",""11992"",""10474"",""11661"",""12869"",""14478"",""14707"","""","""","
"Tuvalu,""TUV"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Tanzania,""TZA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2116"",""2031"",""1866"",""708"",""1822"",""1195"",""2069"",""1487"",""1468"",""1196"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Uganda,""UGA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""227"",""236"",""148"",""147"",""200"",""210"",""220"",""218"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Ukraine,""UKR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""195762"",""163384"",""160433"",""158693"",""156336"",""172840"",""177465"",""193140"",""225287"",""233987"",""223980"",""240810"",""262504"",""257007"",""196188"",""218091"",""243866"",""237722"",""224434"",""210157"",""195054"",""187557"",""191914"",""186344"",""181844"","""","""","
"Upper middle income,""UMC"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1912.5"",""2777"",""2608"",""2652"",""2268"",""2227"",""4480"",""3894"",""4665.5"",""4037"",""3759.5"",""5396"",""5241"",""5604"",""4281"",""3293"",""4833"","""","""","""","""","""","""","""","""","""","""","
"Uruguay,""URY"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""327"",""326"",""362"",""487"",""272"",""239"",""209"",""178"",""188"",""297"",""331"",""304"",""284"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"United States,""USA"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1922797"",""2010520"",""2030952"",""2114555"",""2195309"",""2257583"",""2334980"",""2344032"",""2341159"",""2458440"",""2530605"",""2709558"",""2656604"",""2525364"",""2309811"",""2491450"",""2524667"",""2500300"",""2541355"",""2702743"",""2537845"",""2314699"",""2445138"",""2525224"",""2364144"","""","""","
"Uzbekistan,""UZB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""16831"",""19653"",""16498"",""15672"",""13883"",""15441"",""15732"",""18428"","""",""18007"",""18007"",""19281.4"",""21594"",""23432.4"",""22227"",""22281.8"",""22482"",""22686.4"","""",""22932"",""22935"",""22937"",""22940"",""22942"",""22860"","""","""","
"St. Vincent and the Grenadines,""VCT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Venezuela, RB,""VEN"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53"",""45"",""54"",""79"",""54"",""59"",""81"",""32"","""","""","""",""81.07"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
